product_id,review_id,rating,clean_text,tokens,word_count,cluster,sentiment_score,emotion_label
186393510,20163814,4,hài lòng mong được xác nhận hàng còn nguyên vẹn khi hoàn về,hài_lòng mong được xác_nhận hàng còn nguyên_vẹn khi hoàn về,13,0,0.0,Neutral
186393510,20145823,4,hài lòng khá thơm và tốt,hài_lòng khá thơm và tốt,6,0,0.0,Neutral
190335975,20143399,5,cực kì hài lòng đơn vị giao hàng nhanh riêng bên tiki hỗ trợ đổi sản phẩm khi sản phẩm bị lỗi đã khiến mình cực kì hài lòng sẽ mãi ủng hộ nền tảng tiki x d tuổi thơ dữ dội của tác giả phùng quán đây là một tác phẩm nói về chủ đề chiến tranh tại việt nam trong giai đoạn chống lại thực dân pháp xuyên suốt câu chuyện là hành trình của các bạn nhỏ tham gia vào vệ quốc đoàn trong đội thiếu niên trinh sát thông qua tác phẩm chúng ta có thể phần nào đó hiểu được sự khốc liệt của chiến tranh những hi sinh lớn lao của biết bao thế hệ đi trước tất cả vỉ một mục tiêu chung quyết tử cho tổ quốc quyết sinh cảm ơn tác giả đã viết nên tác phẩm để cho các thế hệ sau này có thể hiểu được hoà bình ngày nay là công lao to lớn của thế hệ đi trước đã hi sinh,cực_kì hài_lòng đơn_vị giao hàng nhanh riêng bên tiki hỗ_trợ đổi sản_phẩm khi sản_phẩm bị lỗi đã khiến mình cực_kì hài_lòng sẽ mãi ủng_hộ nền_tảng tiki x d tuổi_thơ dữ_dội của tác_giả phùng_quán đây là một tác_phẩm nói về chủ_đề chiến_tranh tại việt_nam trong giai_đoạn chống lại thực_dân_pháp xuyên suốt câu_chuyện là hành_trình của các bạn nhỏ tham_gia vào vệ_quốc_đoàn trong đội thiếu_niên trinh_sát thông_qua tác_phẩm chúng_ta có_thể phần_nào đó hiểu được sự khốc_liệt của chiến_tranh những hi_sinh lớn_lao của biết_bao thế_hệ đi trước tất_cả vỉ một mục_tiêu chung quyết_tử cho tổ_quốc quyết_sinh cảm_ơn tác_giả đã viết nên tác_phẩm để cho các thế_hệ sau_này có_thể hiểu được hòa_bình ngày_nay là công_lao to_lớn của thế_hệ đi trước đã hi_sinh,174,2,0.0,Neutral
190335975,20140929,5,cực kì hài lòng mình lười viết phản hồi nhưng tại thích quyển này quá nên nhắn lên đây cho mng yên tâm mua theo cảm nhận của mình thì sách siêu hay và cảm động đúng kiểu là người việt nào cũng nên đọc vì là nvat chính là các cậu bé t nên mng đừng sợ sách về ctranh là khô khan nha có những đoạn cũng rất nhí nhảnh vui nhộn đấy ạ đáng đọc nha mng,cực_kì hài_lòng mình lười viết phản_hồi nhưng tại thích quyển này quá nên nhắn lên đây cho mng yên_tâm mua theo cảm_nhận của mình thì sách siêu hay và cảm_động đúng kiểu là người việt nào cũng_nên đọc vì là nvat chính là các cậu bé t nên mng đừng sợ sách về ctranh là khô khan_nha có những đoạn cũng rất nhí_nhảnh vui_nhộn đấy ạ_đáng đọc nha mng,80,2,0.0,Neutral
190335975,20112205,5,cực kì hài lòng giao hàng bên tiki thì nói là siu nhanh gòi nên chờ sale mua có mã giảm freeship còn có giảm tận hơn k rcm mn mua bên tiki nhìu nhìu nhoa q này có bọc chung với nhau lại trong bịch kiếng nên rất chi là mới lunn,cực_kì hài_lòng giao hàng bên tiki thì nói là siu nhanh gòi nên chờ sale mua có mã giảm freeship còn có giảm tận hơn k rcm mn mua bên tiki nhìu nhìu nhoa q này có bọc chung với nhau lại trong bịch kiếng nên rất chi là mới lunn,53,2,0.0,Neutral
190335975,19919677,5,cực kì hài lòng truyện ship siêu nhanh còn nguyên vẹn không df cảm ơn sốp,cực_kì hài_lòng truyện_ship siêu nhanh còn nguyên_vẹn không df cảm_ơn sốp,16,0,0.0,Neutral
190335975,20019011,5,cực kì hài lòng sách dành cho trẻ em về chiến tranh kháng chiến ở vn ta nd buồn vui lẫn lộn mong cho vào chtrình giảng dạy của nước ta chứ hay quá,cực_kì hài_lòng sách dành cho trẻ_em về chiến_tranh kháng_chiến ở vn ta nd buồn_vui lẫn_lộn mong cho vào chtrình giảng_dạy của nước ta chứ hay quá,34,2,0.0,Neutral
190335975,20130178,5,cực kì hài lòng rất ít cuốn sách có thể cuốn hút mình ngay từ những dòng đầu tiên và nó là một trong những có hào hùng có xúc động có hạnh phúc có buồn có tiếc nuối và hơn hết là sự khâm phục về lòng yêu nước của các e nhỏ,cực_kì hài_lòng rất ít cuốn sách có_thể cuốn_hút mình ngay từ những dòng đầu_tiên và nó là một trong những có hào_hùng có xúc_động có hạnh_phúc có buồn có tiếc_nuối và hơn hết là sự khâm_phục về lòng yêu nước của các e nhỏ,54,2,0.0,Neutral
190335975,20154611,5,cực kì hài lòng đóng gói oke cẩn thận chưa bóc ra nên mình chưa nhận xét chi tiết cụ thể về sách và nội dung trước mắt cho sao ủng hộ,cực_kì hài_lòng đóng_gói oke cẩn_thận chưa bóc ra nên mình chưa nhận_xét chi_tiết cụ_thể về sách và nội_dung trước_mắt cho sao ủng_hộ,32,2,0.0,Neutral
190335975,20144902,5,cực kì hài lòng mua bộ cuốn nhưng sau khi hoàn thành cuốn mình chưa có can đảm đọc cuốn í cảm nhận của mình là nên sắp xếp vài hôm thư thả để đọc rồi trầm lặng cùng ẽm,cực_kì hài_lòng mua bộ cuốn nhưng sau khi hoàn_thành cuốn mình chưa có can_đảm đọc cuốn í cảm_nhận của mình là nên sắp_xếp vài hôm thư_thả để đọc rồi trầm_lặng cùng ẽm,40,2,0.0,Neutral
